nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
209,26328,Hamburguesas el Corral Bulevar Niza,Avenida Carrera 58 No 127 - 59 Local 318 - 319 - 320,NR,Suba,No,NA,www.elcorral.com
293,30007,El Carnal,Centro Comercial Plaza De Las Américas Carrera 71 D No 6 - 94 Sur Local 2910,NR,Kennedy,No,NA,elcarnal.com.co
130,21587,Restaurante 69 Oyster Bar,Calle 69A No 5 - 59 Interior 1,249 04 26 -,Chapinero,No,NA,NR
255,27307,Frisby H16,Centro Comercial Andino Carrera A 11 No 82 - 11  Local 419,01800939000 -,Chapinero,Sí,01 800 939 000,www.frisby.com.co
104,17422,Restaurante Wok,Carrera 6 BIS 29 -  07,287 31 94 -,Santafé,NR,NA,www.wok.com.co
366,33889,Sr Choo,Carrera 13 No 83 - 34,600 09 60 - 218 52 34,Chapinero,Sí,600 09 60,http://54.84.219.185/~srch4752/
322,31033,Bagatelle S.A.S.,Diagonal 70 A No 4 - 99,310 44 69 -,Chapinero,Sí,310 44 69,www.Bagatelle.com.co
240,27168,Carbón 100 Unicentro,Centro Comercial Unicentro Avenida 15 No 124  - 30 Local 408,213 08 99 - 674 05 28,Usaquén,No,NA,carbon100xilvestre.com.co
168,23892,Cafetería Romana,Avenida Jiménez No  6 - 65,334 81 35 -,Candelaria,Sí,334 81 35,NR
205,26324,Hamburguesas el Corral GALERIAS,Calle 52 No 24 - 12,NR,Chapinero,No,NA,www.elcorral.com
28,14444,Crepes & Waffles,Carrera 12A No 83  -  40,676 76 00 Extensión 711 -,Chapinero,No,NA,www.Crepesywaffles.com
132,21658,Hamburguesas el Corral Edificio Continental,Avenida Jiménez No 4 - 16 Local 21 Mezzanine,NR,Candelaria,No,NA,www.elcorral.com
310,30728,La Popular de Andrés Contenedores,Calle 93 B No 13 - 43,863 78 80 - 861 22 33,Chapinero,NR,NA,www.andrescarnederes.com
303,30219,Don Jediondo Gurme´s,Centro Comercial Calima Calle 19 No 28 - 80 Local C-31,487 49 94 -,Los Mártires,Sí,487 51 36,www.donjediondo.com
136,21758,Crepes & Waffles,Avenida calle 39 No 7  -  40 Local 137,676 76 00 Extensión 732 -,Chapinero,No,NA,www.Crepesywaffles.com
13,14339,Hamburguesas el Corral Calle 100,Calle 100 No 8 - 75 Primer Piso,NR,Chapinero,No,NA,www.elcorral.com
23,14420,Crepes & Waffles,Carrera 11 No 85  - 79,676 76 00 Extensión 701 -,Chapinero,No,NA,www.Crepesywaffles.com
158,22613,Luna Restaurante,Calle 83 No 12 -26,257 20 88 -,Chapinero,NR,NA,NR
141,22109,Papa Jhons Pepe Sierra,Calle 116 No 18 B - 40,NR,Usaquén,NR,NA,www.papajohns.com.co
54,14645,Restaurante Dilucca,Carrera 13 No 85 - 32,236 73 01 - 257 42 69,Chapinero,No,NA,NR
194,25785,La Bottega De Andrei,Calle 119 B No 6 A - 18,214 01 87 -,Usaquén,NR,NA,NR
